# EverShop translations for Vietnamese (vi).
# Format: "English source","Vietnamese translation"
# Triggered by `shop.language: "vi"` in config and a build via `npm run build`.
# Strings come from _() calls across the quaxave_* extensions.
"Login","Đăng nhập"
"Please login to continue","Vui lòng đăng nhập để tiếp tục"
"Contact information","Thông tin liên hệ"
"Contact","Liên hệ"
"Order #${orderNumber}","Đơn hàng #${orderNumber}"
"Thank you ${name}!","Cảm ơn ${name}!"
"Shipping Address","Địa chỉ giao hàng"
"Billing Address","Địa chỉ thanh toán"
"Payment Method","Phương thức thanh toán"
"CONTINUE SHOPPING","TIẾP TỤC MUA HÀNG"
"Continue Shopping","Tiếp tục mua hàng"
"Continue to payment","Tiếp tục thanh toán"
"Loading your cart...","Đang tải giỏ hàng..."
"Shipment","Vận chuyển"
"Ship to","Giao đến"
"Ship here","Giao đến đây"
"${count} products","${count} sản phẩm"
"Sku","Mã SKU"
"Order","Đơn hàng"
"Order summary","Tóm tắt đơn hàng"
"Total","Tổng cộng"
"Sub total","Tạm tính"
"Tax ${totalTaxAmount}","Thuế ${totalTaxAmount}"
"Shipping","Phí vận chuyển"
"Discount(${coupon})","Giảm giá (${coupon})"
"Total weight","Tổng trọng lượng"
"CHECKOUT","THANH TOÁN"
"Place Order","Đặt hàng"
"You have not placed any orders yet","Bạn chưa có đơn hàng nào"
"You have no addresses saved","Bạn chưa lưu địa chỉ nào"
"Edit","Chỉnh sửa"
"Edit address","Chỉnh sửa địa chỉ"
"Add new address","Thêm địa chỉ mới"
"Make default","Đặt làm mặc định"
"Delete","Xóa"
"Close","Đóng"
"Remove","Xóa"
"Address has been set as default!","Đã đặt địa chỉ làm mặc định!"
"Address has been deleted successfully!","Đã xóa địa chỉ thành công!"
"Address has been saved successfully!","Đã lưu địa chỉ thành công!"
"Product","Sản phẩm"
"Price","Giá"
"Weight","Trọng lượng"
"Quantity","Số lượng"
"Full name","Họ và tên"
"Telephone","Số điện thoại"
"Full name is required","Vui lòng nhập họ và tên"
"Telephone is required","Vui lòng nhập số điện thoại"
"Sender Full name","Họ tên người gửi"
"Sender Telephone","Số điện thoại người gửi"
"Receiver Full name","Họ tên người nhận"
"Receiver Telephone","Số điện thoại người nhận"
"Address","Địa chỉ"
"Address is required","Vui lòng nhập địa chỉ"
"City","Thành phố"
"City is required","Vui lòng nhập thành phố"
"SOLD OUT","ĐÃ HẾT HÀNG"
"ADD TO CART","THÊM VÀO GIỎ"
"There is no product to display","Không có sản phẩm nào để hiển thị"
"Please select a payment method","Vui lòng chọn phương thức thanh toán"
"No payment method available","Không có phương thức thanh toán nào"
